Opening,White Wins,Black Wins,Draw,Number Of Games,Win rate,loss rate,draw rate
Queen's Gambit Declined,64,34,120,218,29%,16%,55%
Ruy Lopez,45,16,63,124,36%,13%,51%
Sicilian Defense,13,10,48,71,14%,18%,68%
Nimzo-Indian Defense,22,10,32,64,16%,34%,50%
English,12,6,30,48,25%,13%,62%
Grunfeld Defense,17,2,21,40,5%,43%,52%
French Defense,17,2,19,38,5%,45%,50%
Caro-Kann Defense,8,7,23,38,18%,21%,61%
King's Indian Defense,11,6,20,37,16%,30%,54%
Queen's Indian,3,6,25,34,9%,18%,74%
Queen's Pawn Game,9,9,12,30,30%,30%,40%
Queen's Gambit Accepted,4,3,15,22,18%,14%,68%
Evans Gambit,10,5,5,20,50%,25%,25%
Catalan,3,0,11,14,21%,0%,79%
Giuoco Piano,3,5,6,14,21%,36%,43%
Petrov Defense,2,2,10,14,14%,14%,71%
King's Indian Attack,3,2,8,13,23%,15%,62%
Dutch Defense,3,3,6,12,25%,25%,50%
Scotch Game,2,1,4,7,29%,14%,57%
Reti Opening,4,0,3,7,57%,0%,43%
Neo-Grunfeld Defense,4,0,3,7,0%,57%,43%
Benoni Defense,1,1,4,6,17%,17%,67%
Two Knights,1,3,0,4,25%,75%,0%
Uncommon Opening,0,2,2,4,0%,50%,50%
Pirc Defense,0,1,2,3,33%,0%,67%
Four Knights,1,2,0,3,33%,67%,0%
Alekhine's Defense,0,1,1,2,50%,0%,50%
King's Gambit,1,1,0,2,50%,50%,0%
Vienna,1,0,1,2,50%,0%,50%
Scandinavian,1,0,0,1,100%,0%,0%
Old Benoni Defense,0,1,0,1,100%,0%,0%
Modern Defense,1,0,0,1,0%,100%,0%
